seed,team,map_mode,command_mode,stress,stress_family,mission_profile,mission_success,success_time,first_threshold_time,strict_success,strict_success_time,alive_final,reached_final,n_payload,payload_reached,attrition_rate,early_attrition_rate,cumulative_exposure,exposure_per_agent_step,early_exposure_per_agent_step,recovery_time,mean_fragmentation,max_fragmentation,mean_consensus,mean_dispersion,mean_polarization,command_reversal_rate,early_mean_consensus,early_mean_dispersion,early_reversal_rate,early_map_mse,false_safe_rate,false_danger_rate,mean_effective_map_delay,collapse_time,failure_label,matched_variant,display_team,max_steps,safe_exposure_cut,safe_exposure_scale,n_agents,reached_fraction,alive_fraction,payload_fraction,time_efficiency,exposure_safety,recovery_safety,operational_score,safe_delivery_success,degraded_outcome
2303982318,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,56,44,1,56,12,11,2,1,0.0,0.0,72.2156164500159,0.10557838662283027,0.08023957383335101,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023987501430909185,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6888888888888889,0.5200982426234988,1.0,77.3035976189512,1,0
3176462789,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,57,45,1,57,11,11,2,2,0.08333333333333333,0.08333333333333333,106.05115603940429,0.15828530752149894,0.11783461782156032,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004451671276302198,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,0.9166666666666666,1.0,0.6833333333333333,0.2805213294477321,0.30000000000000004,74.36063194560157,0,1
1072478379,no_relay_hetero,delayed,crowd_vector,degraded,degraded,full_delivery,1,55,44,1,55,12,11,2,1,0.0,0.0,67.20979540353802,0.10001457649336015,0.07467755044837558,0,0.0,0.0,0.6527777777777778,0.052729291671696994,0.232066984511341,0.0,0.6527777777777778,0.052729291671696994,0.0,0.0010955001555239192,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6944444444444444,0.5453882886665448,1.0,77.74654715244273,1,0
434189688,no_relay_hetero,delayed,crowd_vector,degraded,degraded,full_delivery,1,57,45,1,57,12,11,2,1,0.0,0.0,100.78229540462517,0.14480214856986376,0.1119803282273613,11,0.0,0.0,0.6226053639846743,0.053944080684101406,0.24954823475081125,0.0,0.6226053639846743,0.053944080684101406,0.0,0.0036763487793366693,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6833333333333333,0.3418084155915284,0.44999999999999996,69.21865115161474,0,1
1227674135,no_relay_hetero,delayed,crowd_vector,degraded,degraded,full_delivery,1,54,44,1,54,10,11,2,2,0.16666666666666666,0.16666666666666666,60.91923832409069,0.099217000527835,0.06768804258232299,0,0.0,0.0,0.6424242424242423,0.04984289467232722,0.23417894350984542,0.0,0.6424242424242423,0.04984289467232722,0.0,0.0011478058850233881,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,0.8333333333333334,1.0,0.7,0.5490136339643863,1.0,83.8861908755014,0,1
4001346765,no_relay_hetero,delayed,crowd_vector,degraded,degraded,full_delivery,1,58,44,1,58,12,12,2,2,0.0,0.0,97.83915862421887,0.13819090201160858,0.10871017624913208,10,0.0,0.0,0.6045197740112993,0.05718301601375621,0.2634886032413522,0.0,0.6045197740112993,0.05718301601375621,0.0,0.0026326079964913702,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,1.0,1.0,1.0,0.6777777777777778,0.3718595363108701,0.5,81.05047795279663,1,1
3107335282,no_relay_hetero,delayed,crowd_vector,degraded,degraded,full_delivery,1,57,45,1,57,12,11,2,1,0.0,0.0,92.50924981533498,0.13291558881513646,0.1027880553503722,0,0.0,0.0,0.60727969348659,0.05327036345511047,0.25502645836595095,0.0,0.60727969348659,0.05327036345511047,0.0,0.0036132809014068263,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6833333333333333,0.3958382326584706,1.0,75.47506859055191,1,0
3978578743,no_relay_hetero,delayed,crowd_vector,degraded,degraded,full_delivery,1,58,44,1,58,12,12,2,2,0.0,0.0,65.0555408562869,0.09188635714164815,0.07228393428476322,0,0.0,0.0,0.6421845574387948,0.04943888117166263,0.2350278426335174,0.0,0.6421845574387948,0.04943888117166263,0.0,0.0004380640609782782,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,1.0,1.0,1.0,0.6777777777777778,0.5823347402652357,1.0,88.99713080815775,1,0
2754612803,no_relay_hetero,delayed,crowd_vector,degraded,degraded,full_delivery,1,57,44,1,57,12,12,2,2,0.0,0.0,60.78499296391556,0.0873347600056258,0.0675388810710173,0,0.0,0.0,0.6551724137931033,0.05156713890121938,0.2304595725457403,0.0,0.6551724137931033,0.05156713890121938,0.0,0.000922597566285295,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,1.0,1.0,1.0,0.6833333333333333,0.6030238181562464,1.0,89.37566678752079,1,0
3880231715,no_relay_hetero,delayed,crowd_vector,degraded,degraded,full_delivery,1,55,45,1,55,12,11,2,1,0.0,0.0,78.47669656086727,0.11678079845367154,0.08719632951207475,7,0.0,0.0,0.6329365079365079,0.054591244827892196,0.25597763000573803,0.0,0.6329365079365079,0.054591244827892196,0.0,0.0005342092190611834,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6944444444444444,0.4691781888469476,0.65,73.17960575496838,1,0
