stress,map_mode,command_mode,variant,fold,metric,delta,expected_direction,direction_matches
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_standardized,2,safe_delivery_success,-0.25,-1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_standardized,2,degraded_outcome,0.125,1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_standardized,2,attrition_rate,0.04166666666666667,1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_standardized,2,mean_effective_map_delay,-7.4538690476190474,-1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_standardized,3,safe_delivery_success,-0.125,-1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_standardized,3,degraded_outcome,0.0,1,False
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_standardized,3,attrition_rate,0.031249999999999986,1,True
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_standardized,3,mean_effective_map_delay,-7.927272727272728,-1,True
severe,delayed,autonomous,relay_rich,0,safe_delivery_success,-0.5,-1,True
severe,delayed,autonomous,relay_rich,0,degraded_outcome,0.5,1,True
severe,delayed,autonomous,relay_rich,0,attrition_rate,0.06249999999999996,1,True
severe,delayed,autonomous,relay_rich,0,mean_effective_map_delay,-14.735857843843325,-1,True
severe,delayed,autonomous,relay_rich,1,safe_delivery_success,-0.125,-1,True
severe,delayed,autonomous,relay_rich,1,degraded_outcome,0.125,1,True
severe,delayed,autonomous,relay_rich,1,attrition_rate,0.010416666666666664,1,True
severe,delayed,autonomous,relay_rich,1,mean_effective_map_delay,-14.852765436318068,-1,True
severe,delayed,autonomous,relay_rich,2,safe_delivery_success,0.0,-1,False
severe,delayed,autonomous,relay_rich,2,degraded_outcome,-0.125,1,False
severe,delayed,autonomous,relay_rich,2,attrition_rate,-0.010416666666666661,1,False
severe,delayed,autonomous,relay_rich,2,mean_effective_map_delay,-15.681034482758621,-1,True
severe,delayed,autonomous,relay_rich,3,safe_delivery_success,-0.375,-1,True
severe,delayed,autonomous,relay_rich,3,degraded_outcome,0.375,1,True
severe,delayed,autonomous,relay_rich,3,attrition_rate,0.06249999999999997,1,True
severe,delayed,autonomous,relay_rich,3,mean_effective_map_delay,-14.414473684210527,-1,True
severe,delayed,autonomous,relay_rich_standardized,0,safe_delivery_success,-0.375,-1,True
severe,delayed,autonomous,relay_rich_standardized,0,degraded_outcome,0.375,1,True
severe,delayed,autonomous,relay_rich_standardized,0,attrition_rate,0.052083333333333315,1,True
severe,delayed,autonomous,relay_rich_standardized,0,mean_effective_map_delay,-14.67206269985308,-1,True
severe,delayed,autonomous,relay_rich_standardized,1,safe_delivery_success,0.0,-1,False
severe,delayed,autonomous,relay_rich_standardized,1,degraded_outcome,0.0,1,False
severe,delayed,autonomous,relay_rich_standardized,1,attrition_rate,0.07291666666666666,1,True
severe,delayed,autonomous,relay_rich_standardized,1,mean_effective_map_delay,-14.606226741095162,-1,True
severe,delayed,autonomous,relay_rich_standardized,2,safe_delivery_success,-0.625,-1,True
severe,delayed,autonomous,relay_rich_standardized,2,degraded_outcome,0.5,1,True
severe,delayed,autonomous,relay_rich_standardized,2,attrition_rate,0.10416666666666662,1,True
severe,delayed,autonomous,relay_rich_standardized,2,mean_effective_map_delay,-14.045905516141453,-1,True
severe,delayed,autonomous,relay_rich_standardized,3,safe_delivery_success,-0.5,-1,True
severe,delayed,autonomous,relay_rich_standardized,3,degraded_outcome,0.375,1,True
severe,delayed,autonomous,relay_rich_standardized,3,attrition_rate,0.07291666666666664,1,True
severe,delayed,autonomous,relay_rich_standardized,3,mean_effective_map_delay,-14.681417984616715,-1,True
severe,delayed,autonomous,relay_rich_scout_matched,0,safe_delivery_success,-0.25,-1,True
