seed,team,map_mode,command_mode,stress,stress_family,mission_profile,mission_success,success_time,first_threshold_time,strict_success,strict_success_time,alive_final,reached_final,n_payload,payload_reached,attrition_rate,early_attrition_rate,cumulative_exposure,exposure_per_agent_step,early_exposure_per_agent_step,recovery_time,mean_fragmentation,max_fragmentation,mean_consensus,mean_dispersion,mean_polarization,command_reversal_rate,early_mean_consensus,early_mean_dispersion,early_reversal_rate,early_map_mse,false_safe_rate,false_danger_rate,mean_effective_map_delay,collapse_time,failure_label,stress_base,variant,noise_scale,loss_scale,dropout_scale,delay_scale,max_steps,safe_exposure_cut,safe_exposure_scale,n_agents,reached_fraction,alive_fraction,payload_fraction,time_efficiency,exposure_safety,recovery_safety,operational_score,safe_delivery_success,degraded_outcome
596067418,relay_rich,delayed,autonomous,degraded_robust_00,degraded_robust_00,full_delivery,1,55,51,1,55,12,11,2,1,0.0,0.0,77.06602476840669,0.11468158447679568,0.08562891640934077,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019814043957828512,0.0,0.0,4.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6944444444444444,0.47872007056001964,0.55,72.31319209895139,1,0
1440135653,relay_rich,delayed,autonomous,degraded_robust_00,degraded_robust_00,full_delivery,1,57,52,1,57,11,10,2,1,0.08333333333333333,0.08333333333333333,94.60403670303167,0.14377513176752532,0.10511559633670185,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015825979846006215,0.0,0.0,5.275862068965517,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.8333333333333334,0.9166666666666666,0.5,0.6833333333333333,0.34647667378397584,0.4,65.284006766309,0,1
2293473635,relay_rich,delayed,autonomous,degraded_robust_00,degraded_robust_00,full_delivery,1,54,51,1,54,12,11,2,1,0.0,0.0,77.28217118812829,0.11709419876989134,0.08586907909792033,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020303317575780204,0.0,0.0,4.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.7,0.4677536419550393,0.55,72.24855098737054,1,0
1780950298,relay_rich,delayed,autonomous,degraded_robust_00,degraded_robust_00,full_delivery,1,57,53,1,57,11,11,2,2,0.08333333333333333,0.08333333333333333,81.49764952751195,0.12423422184071944,0.09055294391945773,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012340448273597115,0.0,0.0,4.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,0.9166666666666666,1.0,0.6833333333333333,0.4352989916330935,1.0,83.52751921619664,0,1
4252600602,relay_rich,delayed,autonomous,degraded_robust_00,degraded_robust_00,full_delivery,1,54,52,1,54,12,11,2,1,0.0,0.0,80.7174832105587,0.122299216985695,0.08968609245617633,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019642856822555798,0.0,0.0,4.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.7,0.44409446824684096,0.55,71.91732255545577,1,0
1024207354,relay_rich,delayed,autonomous,degraded_robust_00,degraded_robust_00,full_delivery,1,54,51,1,54,12,11,2,1,0.0,0.0,73.14897729220641,0.11083178377607032,0.0812766414357849,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.905673048784434e-05,0.0,0.0,4.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.7,0.4962191646542258,1.0,77.14706830515915,1,0
2114550231,relay_rich,delayed,autonomous,degraded_robust_00,degraded_robust_00,full_delivery,1,55,50,1,55,11,10,2,1,0.08333333333333333,0.08333333333333333,89.26667538408637,0.13566364040134707,0.09918519487120708,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012855499657646335,0.0,0.0,4.464285714285714,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.8333333333333334,0.9166666666666666,0.5,0.6944444444444444,0.3833470890847861,0.44999999999999996,66.47797035829812,0,1
4041125511,relay_rich,delayed,autonomous,degraded_robust_00,degraded_robust_00,full_delivery,1,57,50,1,57,11,11,2,2,0.08333333333333333,0.08333333333333333,95.51485306841988,0.14672020440617492,0.10612761452046654,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010600417732838092,0.0,0.0,5.517241379310345,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,0.9166666666666666,1.0,0.6833333333333333,0.33308997997193224,1.0,82.09659305294036,0,1
342390894,relay_rich,delayed,crowd_vector,degraded_robust_00,degraded_robust_00,full_delivery,1,52,51,1,52,11,10,2,1,0.08333333333333333,0.08333333333333333,67.1835404197305,0.10647153790765532,0.07464837824414501,0,0.0,0.0,0.6436058700209643,0.05141234009705459,0.2431557064168471,0.0,0.6436058700209643,0.05141234009705459,0.0,0.0002239206957065411,0.0,0.0,4.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.8333333333333334,0.9166666666666666,0.5,0.7111111111111111,0.5160384640561122,1.0,74.10231627456335,0,1
2323678974,relay_rich,delayed,crowd_vector,degraded_robust_00,degraded_robust_00,full_delivery,1,57,53,1,57,10,9,2,1,0.16666666666666666,0.16666666666666666,60.253111125636096,0.09609746591010541,0.06694790125070678,0,0.0,0.0,0.6570881226053641,0.050453864879057196,0.22986533737577372,0.0,0.6570881226053641,0.050453864879057196,0.0,0.00021259977285810794,0.0,0.0,4.448275862068965,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.75,0.8333333333333334,0.5,0.6833333333333333,0.5631933367722481,1.0,70.81804004814481,0,1
