environment,team,relay_count,map_mode,command_mode,stress,seed,mission_success,safe_delivery_success,degraded_outcome,payload_delivery_rate,mean_progress,operational_score,attrition_rate,mean_hazard_exposure,mean_effective_map_delay,packet_loss,completion_step,mean_command_consensus,command_reversal_rate
webots_physics,relay_sparse,1,delayed_hazard,autonomous,degraded,1010615118,1,1,0,1.0,0.8404419657960362,88.30563539246661,0.0,0.13482808777094174,15,0.0888,756,0.0,0.0
webots_physics,relay_sparse,1,delayed_hazard,autonomous,degraded,993837499,1,1,0,1.0,0.8783480715166729,91.4363071257474,0.0,0.09675508441118987,15,0.0888,540,0.0,0.0
webots_physics,relay_sparse,1,delayed_hazard,autonomous,degraded,977059880,0,0,1,0.5,0.8167078151549171,64.5479485553897,0.0,0.17233781157134276,15,0.0888,760,0.0,0.0
webots_physics,relay_sparse,1,delayed_hazard,autonomous,degraded,1094503213,1,0,1,1.0,0.8125695746496463,88.00636997183904,0.08333333333333337,0.09991942548147095,15,0.0888,631,0.0,0.0
webots_physics,relay_sparse,1,delayed_hazard,autonomous,degraded,1077725594,0,0,1,0.5,0.7888378524607517,58.65607729245874,0.08333333333333337,0.23330339142741652,15,0.0888,760,0.0,0.0
webots_physics,relay_sparse,1,delayed_hazard,autonomous,degraded,1060947975,1,1,0,1.0,0.7967663934869971,88.64713186882703,0.0,0.11100448414047234,15,0.0888,694,0.0,0.0
webots_physics,relay_sparse,1,delayed_hazard,autonomous,degraded,1044170356,1,1,0,1.0,0.9682425323852701,92.91967981412145,0.0,0.10831098793928641,15,0.0888,592,0.0,0.0
webots_physics,relay_sparse,1,delayed_hazard,autonomous,severe,3025210695,0,0,1,0.5,0.7437092787396358,64.17600806888187,0.08333333333333337,0.12010882207204658,29,0.19536,760,0.0,0.0
webots_physics,relay_sparse,1,delayed_hazard,autonomous,severe,3008433076,0,0,1,0.5,0.6094980957066892,54.69706337143827,0.08333333333333337,0.22738670158038168,29,0.19536,760,0.0,0.0
webots_physics,relay_sparse,1,delayed_hazard,autonomous,severe,3058765933,1,1,0,1.0,0.6880769385855681,85.37053411477787,0.0,0.12245678419329883,29,0.19536,442,0.0,0.0
webots_physics,relay_sparse,1,delayed_hazard,autonomous,severe,3041988314,0,0,1,0.5,0.9454252903925892,64.78704002974305,0.0,0.22119714753735553,29,0.19536,760,0.0,0.0
webots_physics,relay_sparse,1,delayed_hazard,autonomous,severe,2958100219,1,0,1,1.0,0.7343626705854019,87.56236923857894,0.08333333333333337,0.07535431180806929,29,0.19536,466,0.0,0.0
webots_physics,relay_sparse,1,delayed_hazard,autonomous,severe,2941322600,1,0,1,1.0,0.9042568221319197,86.05291818738844,0.08333333333333337,0.17112992360761653,29,0.19536,729,0.0,0.0
webots_physics,relay_sparse,1,delayed_hazard,autonomous,severe,2991655457,1,1,0,1.0,0.5970074143564553,85.8843028303905,0.0,0.07618071624281905,29,0.19536,407,0.0,0.0
webots_physics,relay_sparse,1,delayed_hazard,autonomous,severe,2974877838,0,0,1,0.5,0.8838099102178799,65.56238012080834,0.0,0.18255527527578458,29,0.19536,760,0.0,0.0
