variant,stress_base,contrast,metric,delta,ci95_low,ci95_high,expected_direction
severe_robust_01,severe,crowd_minus_auto,degraded_outcome,-0.3125,-0.53125,-0.09375,negative
severe_robust_01,severe,relay_rich_minus_no_relay,degraded_outcome,0.0625,-0.15625,0.28125,positive
severe_robust_01,severe,crowd_minus_auto,attrition_rate,-0.031249999999999993,-0.06510416666666667,0.005208333333333329,negative
severe_robust_01,severe,relay_rich_minus_no_relay,attrition_rate,0.020833333333333336,-0.013085937500000006,0.057291666666666664,positive
severe_robust_02,severe,crowd_minus_auto,safe_delivery_success,-0.03125,-0.25,0.1875,positive
severe_robust_02,severe,relay_rich_minus_no_relay,safe_delivery_success,-0.15625,-0.34375,0.0625,negative
severe_robust_02,severe,crowd_minus_auto,operational_score,3.2122923506785526,0.22593176107946855,6.17456856545707,positive
severe_robust_02,severe,relay_rich_minus_no_relay,operational_score,-1.6672934335861385,-4.862289041029173,1.3655300798852947,negative
severe_robust_02,severe,crowd_minus_auto,degraded_outcome,0.03125,-0.15625,0.21875,negative
severe_robust_02,severe,relay_rich_minus_no_relay,degraded_outcome,0.09375,-0.09375,0.28125,positive
severe_robust_02,severe,crowd_minus_auto,attrition_rate,0.005208333333333343,-0.02604166666666667,0.03912760416666631,negative
severe_robust_02,severe,relay_rich_minus_no_relay,attrition_rate,0.031249999999999986,-0.0026041666666666574,0.0625,positive
severe_robust_03,severe,crowd_minus_auto,safe_delivery_success,0.21875,0.0,0.40703124999999574,positive
severe_robust_03,severe,relay_rich_minus_no_relay,safe_delivery_success,-0.21875,-0.40625,0.0,negative
severe_robust_03,severe,crowd_minus_auto,operational_score,3.3530032218899066,0.8950549375882275,5.930264290016214,positive
severe_robust_03,severe,relay_rich_minus_no_relay,operational_score,-0.3836897924719125,-3.075942177774331,2.393017496745908,negative
severe_robust_03,severe,crowd_minus_auto,degraded_outcome,-0.1875,-0.40625,0.03125,negative
severe_robust_03,severe,relay_rich_minus_no_relay,degraded_outcome,0.1875,-0.03125,0.40625,positive
severe_robust_03,severe,crowd_minus_auto,attrition_rate,-0.0234375,-0.05989583333333333,0.015625,negative
severe_robust_03,severe,relay_rich_minus_no_relay,attrition_rate,0.04947916666666666,0.010416666666666671,0.08854166666666666,positive
severe_robust_04,severe,crowd_minus_auto,safe_delivery_success,0.09375,-0.15625,0.34375,positive
severe_robust_04,severe,relay_rich_minus_no_relay,safe_delivery_success,-0.34375,-0.56328125,-0.125,negative
severe_robust_04,severe,crowd_minus_auto,operational_score,4.475578117469638,1.2296367129809376,7.518870438553666,positive
severe_robust_04,severe,relay_rich_minus_no_relay,operational_score,-1.2231825385543402,-4.4808504649260765,2.1199195962034443,negative
severe_robust_04,severe,crowd_minus_auto,degraded_outcome,-0.125,-0.34375,0.125,negative
severe_robust_04,severe,relay_rich_minus_no_relay,degraded_outcome,0.3125,0.09375,0.5625,positive
severe_robust_04,severe,crowd_minus_auto,attrition_rate,0.0078125,-0.015625,0.03125,negative
