seed,team,map_mode,command_mode,stress,stress_family,mission_profile,policy,mission_success,success_time,first_threshold_time,strict_success,strict_success_time,alive_final,reached_final,n_payload,payload_reached,attrition_rate,early_attrition_rate,cumulative_exposure,exposure_per_agent_step,early_exposure_per_agent_step,recovery_time,mean_fragmentation,fragmentation_mean,max_fragmentation,lambda2_ctrl_mean,lambda2_ctrl_min,lambda2_ctrl_final,lambda2_post_mean,lambda2_per_alive_mean,lambda2_ctrl_n_steps,eigengap_mean,eigengap_min,eigengap_p01,lambda2_low_population_steps,lambda2_degenerate_steps,mean_consensus,mean_dispersion,mean_polarization,command_reversal_rate,early_mean_consensus,early_mean_dispersion,early_reversal_rate,early_map_mse,false_safe_rate,false_danger_rate,mean_effective_map_delay,collapse_time,failure_label,n_agents,reached_fraction,alive_fraction,payload_fraction,time_efficiency,exposure_safety,recovery_safety,operational_score,safe_delivery_success,degraded_outcome
1444121819,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,55,45,1,55,12,11,2.0,1,0.0,0.0,84.38212378082177,0.12556863657860382,0.0937579153120242,0,0.0,0.0,0.0,8.16942374351895,3.8220105932845105,10.434387356182166,8.16942374351895,0.6807853119599125,56,1.069739048903102,0.10485956756290449,0.1141223030374455,0,0,0.5436507936507936,0.07817338078783684,0.30947505775805034,0.0,0.5436507936507936,0.07817338078783684,0.0,0.0012489485102140047,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,1.0,0.5,0.6944444444444444,0.42923347009725543,1.0,76.12037969247268,1,0
1444122828,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,56,51,1,56,11,10,2.0,1,0.08333333333333333,0.08333333333333333,74.90935910484275,0.1170458736013168,0.08323262122760305,9,0.0,0.0,0.0,8.239048156993992,3.9879082540288255,9.777626579040497,8.222141241384271,0.7277473574608703,57,1.5602432300483446,0.0735440111870318,0.07990620027184804,0,0,0.5614035087719298,0.0872170570797803,0.31435482748846066,0.0,0.5614035087719298,0.0872170570797803,0.0,0.00089463614740571,0.0,0.0,12.0,181,0,12.0,0.8333333333333334,0.9166666666666666,0.5,0.6888888888888889,0.46797330181219643,0.55,68.573848447593,0,1
1444123837,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,57,46,1,57,12,11,2.0,1,0.0,0.0,88.37298999543627,0.1269726867750521,0.0981922111060403,0,0.0,0.0,0.0,7.95476588332498,3.720337831176181,10.59590309464297,7.95476588332498,0.6628971569437484,58,0.9573845044323948,0.09332713919487823,0.11329526674221374,0,0,0.5153256704980843,0.09010030797113454,0.3388185134543795,0.0,0.5153256704980843,0.09010030797113454,0.0,0.0006564450144356707,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,1.0,0.5,0.6833333333333333,0.42285142374976314,1.0,75.85325326583,1,0
1444124846,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,55,45,1,55,12,11,2.0,1,0.0,0.0,62.346697296044844,0.09277782335720959,0.0692741081067165,0,0.0,0.0,0.0,8.233393238145775,3.898970513865013,10.630459807566988,8.233393238145775,0.6861161031788144,56,0.9110073913863397,0.031514237689277635,0.03399919505250768,0,0,0.5892857142857143,0.08461515657260969,0.30754942881167086,0.0,0.5892857142857143,0.08461515657260969,0.0,0.0015699475831169154,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,1.0,0.5,0.6944444444444444,0.5782826211035927,1.0,78.2070678065614,1,0
1444125855,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,58,45,1,58,12,11,2.0,1,0.0,0.0,101.5887185721587,0.14348689063864223,0.11287635396906522,0,0.0,0.0,0.0,8.025078878840427,3.77372068270512,10.402125811180278,8.025078878840427,0.6687565732367023,59,0.9742749383096738,0.2472626130153639,0.2555531106229099,0,0,0.5348399246704332,0.08259586512718067,0.3150849863138291,0.0,0.5348399246704332,0.08259586512718067,0.0,0.003963859618486236,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,1.0,0.5,0.6777777777777778,0.34778686073344445,1.0,74.71346049471266,1,1
1444126864,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,54,45,1,54,11,9,2.0,1,0.08333333333333333,0.08333333333333333,61.56357363169576,0.09741071777167051,0.06840397070188418,0,0.0,0.0,0.0,7.859783977194603,3.549627197286706,9.133603864335663,7.859783977194603,0.6774140448469346,55,0.8539663543890309,0.08584677427952236,0.09910301425981995,0,0,0.5333333333333333,0.09103282617905852,0.3302644560686852,0.0,0.5333333333333333,0.09103282617905852,0.0,0.0032474219288623303,0.0,0.0,13.963636363636363,181,0,12.0,0.75,0.9166666666666666,0.5,0.7,0.5572240101287704,1.0,72.50113614180277,0,1
1444127873,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,56,53,1,56,10,10,2.0,2,0.16666666666666666,0.16666666666666666,60.181956502308545,0.10448256337206345,0.0668688405581206,0,0.007407407407407407,0.007407407407407407,0.1111111111111111,6.532655555148575,2.7562527322134422,8.833139407646481,6.4996469419667395,0.6406736451877912,57,2.1762717746942077,0.28941730289257883,0.3024574760579082,0,0,0.5360623781676414,0.08862535113158533,0.3300631902124649,0.0,0.5360623781676414,0.08862535113158533,0.0,0.0022999571429973527,0.0,0.0,15.929824561403509,181,0,12.0,0.8333333333333334,0.8333333333333334,1.0,0.6888888888888889,0.5250792573997116,1.0,81.37333182581818,0,1
1444128882,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,57,46,1,57,10,10,2.0,2,0.16666666666666666,0.16666666666666666,58.95996097326847,0.09126928943230414,0.06551106774807608,0,0.0,0.0,0.0,7.714240102200583,3.7665502949570584,8.8958139897804,7.684086350412381,0.6861126856967441,58,1.057274802116207,0.11246720553611489,0.12293385058696302,0,0,0.5498084291187739,0.08790728715260784,0.3244179616203087,0.0,0.5498084291187739,0.08790728715260784,0.0,0.0030182930277682526,0.0,0.0,15.310344827586206,181,0,12.0,0.8333333333333334,0.8333333333333334,1.0,0.6833333333333333,0.5851395934895267,1.0,82.1252876421867,0,1
1444129891,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,55,50,1,55,11,10,2.0,1,0.08333333333333333,0.08333333333333333,75.29812028044562,0.11820741017338401,0.08366457808938402,9,0.0,0.0,0.0,7.839347902190753,3.6757767644134756,8.88141515965517,7.833809736735331,0.6824505308439924,56,1.57562087457314,0.049778008772481286,0.05156935020387117,0,0,0.5753968253968254,0.08324977826476984,0.31009872301529956,0.0,0.5753968253968254,0.08324977826476984,0.0,0.0010702235986312226,0.0,0.0,12.0,181,0,12.0,0.8333333333333334,0.9166666666666666,0.5,0.6944444444444444,0.46269359012098177,0.55,68.58882137280486,0,1
1444130900,relay_mid,delayed,crowd_vector,severe,severe,full_delivery,baseline,1,57,44,1,57,12,11,2.0,1,0.0,0.0,65.9143081405011,0.09470446571911079,0.07323812015611234,0,0.0,0.0,0.0,8.07638929075422,4.081123522702831,10.464792012409044,8.07638929075422,0.673032440896185,58,1.0368984809605315,0.09121455991156502,0.12194799609517012,0,0,0.5344827586206896,0.07918193624317418,0.31809179812114763,0.0,0.5344827586206896,0.07918193624317418,0.0,0.0009354832272364053,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,1.0,0.5,0.6833333333333333,0.5695251558222236,1.0,77.90668551484445,1,0
